problem2
*********** generating gradients please wait ***********


*********************  Running fminsdp  ********************** 

Calling NLP-solver fmincon for problem with no matrix inequality constraints.

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  292     898    1.204784e-01    1.237e-07    6.830e-05    4.541e-04
  293     902    1.204784e-01    1.452e-07    5.675e-05    8.771e-04
  294     906    1.204784e-01    1.331e-07    6.212e-05    5.970e-04
  295     910    1.204784e-01    1.293e-07    5.758e-05    6.596e-04
  296     914    1.204784e-01    1.210e-07    5.091e-05    5.955e-04
  297     918    1.204784e-01    1.141e-07    3.707e-05    5.887e-04
  298     922    1.204784e-01    1.072e-07    2.420e-05    5.683e-04
  299     926    1.204784e-01    1.013e-07    1.010e-05    5.587e-04
  300     930    1.204784e-01    9.604e-08    1.507e-05    5.491e-04

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  301     934    1.204784e-01    9.141e-08    2.690e-05    5.416e-04
  302     938    1.204784e-01    8.725e-08    3.807e-05    5.339e-04
  303     942    1.204784e-01    8.343e-08    4.867e-05    5.259e-04
  304     946    1.204784e-01    7.984e-08    5.881e-05    5.174e-04
  305     950    1.204784e-01    7.646e-08    6.886e-05    5.086e-04
  306     954    1.204784e-01    7.329e-08    8.133e-05    5.003e-04
  307     958    1.204784e-01    7.039e-08    9.381e-05    4.933e-04
  308     962    1.204784e-01    6.784e-08    1.063e-04    4.881e-04
  309     966    1.204784e-01    6.573e-08    1.186e-04    4.854e-04
  310     970    1.204784e-01    6.411e-08    1.306e-04    4.854e-04
  311     974    1.204784e-01    6.304e-08    1.420e-04    4.881e-04
  312     978    1.204784e-01    6.252e-08    1.526e-04    4.932e-04
  313     982    1.204784e-01    6.252e-08    1.621e-04    5.002e-04
  314     986    1.204784e-01    6.300e-08    1.704e-04    5.088e-04
  315     990    1.204784e-01    6.393e-08    1.777e-04    5.193e-04
  316     994    1.204784e-01    6.535e-08    1.842e-04    5.320e-04
  317     998    1.204784e-01    6.732e-08    1.902e-04    5.478e-04
  318    1002    1.204784e-01    6.996e-08    1.959e-04    5.674e-04
  319    1006    1.204784e-01    7.344e-08    2.013e-04    5.915e-04
  320    1010    1.204784e-01    7.790e-08    2.062e-04    6.202e-04
  321    1014    1.204784e-01    8.350e-08    2.105e-04    6.535e-04
  322    1018    1.204784e-01    9.031e-08    2.139e-04    6.910e-04
  323    1022    1.204784e-01    9.837e-08    2.165e-04    7.316e-04
  324    1026    1.204784e-01    1.076e-07    2.185e-04    7.745e-04
  325    1030    1.204784e-01    1.179e-07    2.203e-04    8.185e-04
  326    1034    1.204784e-01    1.290e-07    2.221e-04    8.625e-04
  327    1038    1.204784e-01    1.407e-07    2.244e-04    9.055e-04
  328    1042    1.204784e-01    1.527e-07    2.272e-04    9.465e-04
  329    1046    1.204784e-01    1.647e-07    2.307e-04    9.847e-04
  330    1050    1.204784e-01    1.765e-07    2.347e-04    1.019e-03

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  331    1054    1.204784e-01    1.875e-07    2.394e-04    1.050e-03
  332    1058    1.204784e-01    1.976e-07    2.446e-04    1.075e-03
  333    1062    1.204784e-01    2.064e-07    2.502e-04    1.094e-03
  334    1066    1.204784e-01    2.135e-07    2.564e-04    1.107e-03
  335    1070    1.204784e-01    2.187e-07    2.632e-04    1.114e-03
  336    1074    1.204784e-01    2.218e-07    2.708e-04    1.115e-03
  337    1078    1.204784e-01    2.228e-07    2.792e-04    1.111e-03
  338    1082    1.204784e-01    2.217e-07    2.885e-04    1.101e-03
  339    1086    1.204784e-01    2.187e-07    2.986e-04    1.087e-03
  340    1090    1.204784e-01    2.140e-07    3.095e-04    1.069e-03
  341    1094    1.204784e-01    2.078e-07    3.212e-04    1.048e-03
  342    1098    1.204784e-01    2.004e-07    3.334e-04    1.024e-03
  343    1102    1.204784e-01    1.919e-07    3.461e-04    9.984e-04
  344    1106    1.204784e-01    1.826e-07    3.591e-04    9.700e-04
  345    1110    1.204784e-01    1.727e-07    3.724e-04    9.394e-04
  346    1114    1.204784e-01    1.624e-07    3.857e-04    9.066e-04
  347    1118    1.204784e-01    1.516e-07    3.991e-04    8.715e-04
  348    1122    1.204784e-01    1.407e-07    4.126e-04    8.344e-04
  349    1126    1.204784e-01    1.297e-07    4.260e-04    7.955e-04
  350    1130    1.204784e-01    1.187e-07    4.394e-04    7.555e-04
  351    1134    1.204784e-01    1.080e-07    4.528e-04    7.153e-04
  352    1138    1.204784e-01    9.776e-08    4.663e-04    6.761e-04
  353    1140    1.204784e-01    9.930e-08    4.585e-04    1.975e-03
  354    1141    1.204784e-01    4.501e-08    5.516e-04    1.125e-03
  355    1142    1.204784e-01    1.003e-08    4.343e-04    5.411e-04
  356    1144    1.204784e-01    1.495e-08    5.390e-04    1.323e-03
  357    1147    1.204784e-01    1.571e-08    6.035e-04    8.366e-04
  358    1152    1.204784e-01    1.666e-08    6.261e-04    3.000e-04
  359    1158    1.204784e-01    1.087e-08    7.600e-08    6.334e-04

<a href = "matlab: helpview('optim','local_min_found','CSHelpWindow');">Local minimum found that satisfies the constraints</a>.

Optimization completed because the objective function is non-decreasing in 
<a href = "matlab: helpview('optim','feasible_directions','CSHelpWindow');">feasible directions</a>, to within the value of the <a href = "matlab: helpview('optim','optimality_tolerance_msgcsh','CSHelpWindow');">optimality tolerance</a>,
and constraints are satisfied to within the value of the <a href = "matlab: helpview('optim','constraint_tolerance','CSHelpWindow');">constraint tolerance</a>.

<<a href = "matlab: createExitMsg({'optimlib:sqpLineSearch:Exit1basic'},{'optimlib:sqpLineSearch:Exit1detailed','4.690139e-08','1.000000e-07','1.086527e-08','1.000000e-07'},true,true);;">stopping criteria details</a>>

optimout = 

  <a href="matlab:helpPopup struct" style="font-weight:bold">struct</a> with fields:

        nlpx: [124×1 double]
        fval: 0.1205
    exitflag: 1
      output: [1×1 struct]
      lambda: [1×1 struct]
        grad: [124×1 double]
     hessian: [124×124 double]
           t: [16×1 double]
           u: [16×1 double]
           p: []


optimparam = 

  <a href="matlab:helpPopup struct" style="font-weight:bold">struct</a> with fields:

           optvar: 3
          objtype: []
            ncolx: 6
            ncolu: 2
               li: [4×1 double]
               tf: 1
               ui: [7 7 7 7]
              par: []
              bdu: [-4 10]
              bdx: []
              bdp: []
           objfun: @dynobjfun
           confun: []
          process: @dynprocess
